search,rank,gazId,name,featureType,fcode,layerName,state,county,geometryType,coordinateCount,latitude,longitude
Yellowstone,65,1035255,Yellowstone River,Stream,46000,Streams (Mouth),ND,Dawson,esriGeometryMultipoint,106,45.94700823724225,-107.9331359317483
Yellowstone,66,1035255,Yellowstone River,Stream,46000,Streams (Mouth),ND,Richland,esriGeometryMultipoint,106,45.94700823724225,-107.9331359317483
Yellowstone,67,1035255,Yellowstone River,Stream,46000,Streams (Mouth),ND,McKenzie,esriGeometryMultipoint,106,45.94700823724225,-107.9331359317483
Yellowstone,68,777701,Tongue and Yellowstone River Irrigation District Canal,Canal,33600,Streams (Mouth),MT,Custer,esriGeometryMultipoint,4,46.443899308464296,-105.76056694275131
Yellowstone,69,14089,Yellowstone Spring,Spring,45800,Other Hydrographic Features,AZ,Mohave,esriGeometryPoint,1,36.730824290557095,-112.94299817224552
Yellowstone,70,36475,Yellowstone Tank,Reservoir,39001,Other Hydrographic Features,AZ,Greenlee,esriGeometryPoint,1,33.30306420097285,-109.21822087542866
Yellowstone,71,1454957,Yellowstone Spring,Spring,45800,Other Hydrographic Features,UT,Morgan,esriGeometryPoint,1,41.13717302108153,-111.35826287887623
Yellowstone,72,1447870,Yellowstone Power Diversion Reservoir,Reservoir,39000,Other Hydrographic Features,UT,Duchesne,esriGeometryPoint,1,40.57573553910396,-110.32701180072327
Yellowstone,73,36476,Yellowstone Tank,Reservoir,39001,Other Hydrographic Features,AZ,Navajo,esriGeometryPoint,1,34.21342612734667,-110.21308604244298
Yellowstone,74,913104,Yellowstone Spring,Spring,45800,Other Hydrographic Features,NM,Torrance,esriGeometryPoint,1,34.781499752484436,-106.41572039526253
Yellowstone,75,1016873,Yellowstone Falls,Falls,48700,Other Hydrographic Features,NC,Haywood,esriGeometryPoint,1,35.323725827007195,-82.8409670389655
Yellowstone,76,14088,Yellowstone Spring,Spring,45800,Other Hydrographic Features,AZ,Mohave,esriGeometryPoint,1,36.49911902283727,-113.70937526301422
Yellowstone,77,851563,Yellowstone Spring,Spring,45800,Other Hydrographic Features,NV,Clark,esriGeometryPoint,1,35.284372280694065,-114.7582042108291
Yellowstone,78,1577096,Yellowstone Lake,Reservoir,39004,Other Hydrographic Features,WI,Lafayette,esriGeometryPoint,1,42.76407359879016,-89.97393217509402
Yellowstone,79,846007,Yellowstone Spring,Spring,45800,Other Hydrographic Features,NV,Pershing,esriGeometryPoint,1,40.58557141489681,-117.82335035880823
Yellowstone,80,1595859,Upper Falls of the Yellowstone River,Falls,48700,Other Hydrographic Features,WY,Park,esriGeometryPoint,1,44.71281483319879,-110.49985861095288
Yellowstone,81,37603,Yellowstone Tank,Reservoir,39001,Other Hydrographic Features,AZ,Pima,esriGeometryPoint,1,32.28979930858093,-110.63408515738712
Yellowstone,82,201209,Yellowstone Reservoir,Reservoir,43600,Other Hydrographic Features,CO,Huerfano,esriGeometryPoint,1,37.61334830894473,-105.12723171122455
Yellowstone,83,1609116,Lower Falls of the Yellowstone River,Falls,48700,Other Hydrographic Features,WY,Park,esriGeometryPoint,1,44.71798203437053,-110.4964373008365
Yellowstone,84,14090,Yellowstone Tank,Reservoir,39001,Other Hydrographic Features,AZ,Graham,esriGeometryPoint,1,32.86707337367959,-109.35704492313025
Yellowstone,85,1157730,Yellowstone Lake,Lake,39001,Other Hydrographic Features,OR,Harney,esriGeometryPoint,1,43.38064951367891,-119.66071542796611
Yellowstone,86,1577897,Yellowstone (historical),Populated Place,61500,Historical Cultural-Political Points,WI,Lafayette,esriGeometryMultipoint,1,42.79834217117907,-89.97040883163274
Yellowstone,87,1940750,Yellowstone National Park Division (historical),Census,99901,Historical Cultural-Political Points,MT,Park,esriGeometryMultipoint,1,45.00355187722349,-110.80161497599393
